authors,title,year,scholar_link
"(1) AO Andrew Huzortey, Benjamin Anderson",Designed and Developed Low Cost Raman Spectroscopic System,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=IY1kG7cAAAAJ&pagesize=100&citation_for_view=IY1kG7cAAAAJ:rmuvC79q63oC
"(1) P Osei-Kuffour, SB Kendie, KA Boakye","Conflict, peace and development: A spatio-thematic analysis of violent conflicts in Northern Ghana between 2007 and 2013.",2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QahcUIkAAAAJ&pagesize=100&citation_for_view=QahcUIkAAAAJ:HDshCWvjkbEC
"(2) AT Asare, E Asare-Bediako, F Agyarko, K Taah, EO Osei",Phenotypic traits detect genetic variability in Okra (Abelmoschus esculentus. L. Moench),2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=YxNxx2gAAAAJ&pagesize=100&citation_for_view=YxNxx2gAAAAJ:3fE2CSJIrl8C
"(4) E Asare-Bediako, F Agyarko, KJ Taah, A Asare, KA Frimpong, J Sarfo",Phenotypic and serological screening of okra genotypes against Okra mosaic virus infection under field conditions.,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=YxNxx2gAAAAJ&pagesize=100&citation_for_view=YxNxx2gAAAAJ:M3NEmzRMIkIC
"(1) S Awuku, F Ansah, R Adjei, J Sarfo, C Gordon, M Prew, G & Oduro",Leadership and quality assurance of teaching and learning - leadership programme resources for college leaders,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tJIJzpQAAAAJ&pagesize=100&citation_for_view=tJIJzpQAAAAJ:IjCSPb-OGe4C
"(1) KJ Sarfo, CM Abgale",A ‘Single Point’Experimental Approach of Assessing the Inactivation Kinetics of β-glucuronidase by Aqueous-based Leaf Extractives Notably Used as Enemas,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ar0lfFgAAAAJ&pagesize=100&citation_for_view=ar0lfFgAAAAJ:_FxGoFyzp5QC
"(1) J Opoku-Ansah, JM Eghan, B Anderson, JN Boampong, ...",Laser-Induced Autofluorescence Technique for Plasmodium falciparum Parasite Density Estimation,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=h5Grg7IAAAAJ&pagesize=100&citation_for_view=h5Grg7IAAAAJ:d1gkVwhDpl0C
"(1) J Opoku-Ansah, JM Eghan, B Anderson, JN Boampong, ...",Laser-Induced Auto-fluorescence for Plasmodium falciparum Parasite Density Estimation,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=h5Grg7IAAAAJ&pagesize=100&citation_for_view=h5Grg7IAAAAJ:W7OEmFMy1HYC
"(1) QA Kester, L Nana, AC Pascu, S Gire, JM Eghan, NN Quaynor",A cryptographic technique for security of medical images in health information systems,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BKr6RNkAAAAJ&pagesize=100&citation_for_view=BKr6RNkAAAAJ:3fE2CSJIrl8C
"(1) QA Kester, L Nana, AC Pascu, S Gire, JM Eghan, NN Quaynor",A security technique for authentication and security of medical images in health information systems,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BKr6RNkAAAAJ&pagesize=100&citation_for_view=BKr6RNkAAAAJ:0EnyYjriUFMC
"(1) QA Kester, L Nana, AC Pascu, S Gire, JM Eghan, NN Quaynor",A hybrid image cryptographic and spatial digital watermarking encryption technique for security and authentication of digital images,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BKr6RNkAAAAJ&pagesize=100&citation_for_view=BKr6RNkAAAAJ:LkGwnXOMwfcC
"(1) QA Kester, L Nana, AC Pascu, S Gire, JM Eghan, NN Quaynor",A novel hybrid discrete cosine transformation and visual cryptographic technique for securing digital images,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BKr6RNkAAAAJ&pagesize=100&citation_for_view=BKr6RNkAAAAJ:_FxGoFyzp5QC
"(1) QA Kester, L Nana, AC Pascu, S Gire, JM Eghan, NN Quaynor",A cryptographic encryption technique of MPEG digital video images based on RGB layer pixel values,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BKr6RNkAAAAJ&pagesize=100&citation_for_view=BKr6RNkAAAAJ:hqOjcs7Dif8C
"(1) K Quist-Aphetsi, N Laurent, AC Pascu, S Gire, JM Eghan, NN Quaynor",A cryptographic and watermarking encryption technique for securing and authentication of digital images,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BKr6RNkAAAAJ&pagesize=100&citation_for_view=BKr6RNkAAAAJ:kNdYIx-mwKoC
"(1) QA Kester, L Nana, AC Pascu, S Gire, JM Eghan, NN Quaynor","A cryptographic, discrete cosine transform and frequency domain watermarking approach for securing digital images",2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BKr6RNkAAAAJ&pagesize=100&citation_for_view=BKr6RNkAAAAJ:KlAtU1dfN6UC
