authors,title,year,dric
"(1) M Bryant, Isaac Mbir and Osei-Marfo",Innovative Designs in Household Biogas Digester in Built Neighbourhoods,2021,NF
"(1) KKE Kukuia, JA Mensah, P Amoateng, D Osei-Safo, AE Koomson, J Torbi, ...",Glycine/NMDA Receptor Pathway Mediates the Rapid-onset Antidepressant Effect of Alkaloids From Trichilia Monadelpha,2021,NO
"(2) K Asiedu, S Kyei, M Adanusa, RKD Ephraim, S Animful, SK Ali-Baya, ...","Dry eye, its clinical subtypes and associated factors in healthy pregnancy: a cross-sectional study",2021,NO
"(2) S Kyei, K Asiedu, RKD Ephraim, S Animful, M Adanusa, SK Ali-Baya, ...",Meibomian gland dysfunction and lipid profile: a study among pregnant women,2021,NO
"(1) EKM Edzie, K Dzefi-Tettey, PN Gorleku, FN Ghartey, M Adanusa, ...","Advancing Age in Africa, the Urgent Need for Institutional Geriatric Care in a Low Resource Setting: A Case Report",2021,NO
"(2) EKM Edzie, K Dzefi-Tettey, PN Gorleku, FN Ghartey, M Adanusa, ...","Advancing age in Africa, the urgent need for institutional geriatric care in a low resource setting: a case report",2021,NO
"(3) G Adjei, EKM Darteh, OEA Nettey, DT Doku",Neonatal mortality in the central districts of Ghana: analysis of community and composition factors,2021,NO
"(2) F Pappoe, SV Nuvor",Host-Microbial Relationship: Immune Response to Microbial,2021,NO
"(1) AP Asimah, O Imoro",Developing ICT Competencies: New Skill Sets for Excellent Customer Service in Academic Libraries,2021,NO
"(1) D Nii-Okai, E Acheampong, I Mahama, KJ Mensah, O Imoro, R Marfo, ...",Sandwich Model of Educational Upgrading in Ghana: A Transitional Challenge in Disguise,2021,NO
"(2) K Barfi, V Arkorful, N Abaidoo",Availability of electronic information resources that support student learning: a case at the University of Cape Coast,2021,NO
"(1) NO Bonsu, B Bervell, JK Armah, SPK Aheto, V Arkorful",WhatsApp Use in Teaching and Learning During COVID-19 Pandemic Period: Investigating the Initial Attitudes and Acceptance of Students,2021,NO
"(2) P Yeboah, FN Odoi, M Teye, T Yangtul",The growth performance and carcass characteristics of broiler guinea fowls (Numida meleagris) fed on diets containing RE3™ probiotics,2021,NO
"(1) S Darkwa, M Teye, P Darko",Use of cowpea (vigna unguiculata) as substitute for wheat flour in the preparation of snacks,2021,NO
"(2) S Shaban, F Kyei, J Awuni, A Danquah, T Odoom, M Teye, HR Otsyina, ...",Is There Cross-Species Transmission to Pigs of Avian Influenza Virus Within Poultry Farms with Previous Outbreak of Avian Influenza?,2021,NF
"(3) M Teye, VYA Barku, FNA Odoi, C Kyereme",Water Hyacinth (Eichhornia crassipes) Plant Meal in Rabbit Diets: Effects on Meat Quality and Heavy Metal Content,2021,NO
"(1) S Shaban, F Kyei, J Awuni, A Danquah, T Odoom, M Teye, HR Otsyina, ...",Research Article Is There Cross-Species Transmission to Pigs of Avian Influenza Virus Within Poultry Farms with Previous Outbreak of Avian Influenza?,2021,NF
"(2) F Ghartey-Tagoe, B Ekumah, ANM Pappoe, HK Akotoye",Effects of anthropogenic activities on land-use dynamics in an upland tropical evergreen forest in Ghana,2021,NO
"(2) C Kuffour, DK Essumang, HK Akotoye, RA Kuffour, JD Abraham",Pesticide and nutrient loads of Lake Bosomtwe in the Ashanti Region of Ghana,2021,NO
"(6) E Obese, RP Biney, IT Henneh, D Anokwah, EA Adakudugu, E Woode, ...","Antinociceptive effect of the hydroethanolic leaf extract of Calotropis procera (Ait) R. Br.(Apocynaceae): Possible involvement of glutamatergic, cytokines, opioidergic and …",2021,NO
"(1) D Anokwah, E Asante-Kwatia, AY Mensah, CA Danquah, BK Harley, ...","Bioactive constituents with antibacterial, resistance modulation, anti-biofilm formation and efflux pump inhibition properties from Aidia genipiflora stem bark",2021,NO
