authors,title,year,scholar_link
"(6) I Henneh, R Biney, S Acheampong, E Obese, F Armah, E Ameyaw, ...","ANTI-EPILEPTOGENIC ACTIVITY OF ZIZIPHUS ABYSSINICA ROOT BARK EXTRACT AND ITS ISOLATED BIOACTIVE COMPOUND, Β-AMYRIN",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0rK5vU8AAAAJ&pagesize=100&citation_for_view=0rK5vU8AAAAJ:QIV2ME_5wuYC
"(7) M Antwi-Adjei, E Obese, EA Adakudugu, IT Henneh, RP Biney, ...",Modulating Effects of the Hydroethanolic Leaf Extract of Persicaria lanigera R. Br. Soják (Polygonaceae) against Acute Inflammation,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0rK5vU8AAAAJ&pagesize=100&citation_for_view=0rK5vU8AAAAJ:mVmsd5A6BfQC
"(2) JF Powell, IT Henneh, M Ekor","Knowledge, attitude and practice of physicians and nurses at the cape coast teaching hospital in the Central Region of Ghana on spontaneous adverse drug reaction reporting",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=jrH8VfwAAAAJ&pagesize=100&citation_for_view=jrH8VfwAAAAJ:_xSYboBqXhAC
"(3) SM Arhin, KB Mensah, EK Agbeno, IT Henneh, DA Azize, A Boateng, ...",Pharmacotherapy for Infertility in Ghana: A Prospective Study on Prescription Patterns and Treatment Outcomes among Women undergoing Fertility Treatment,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=83a3zgkAAAAJ&pagesize=100&citation_for_view=83a3zgkAAAAJ:GnPB-g6toBAC
"(7) M Antwi-Adjei, E Obese, EA Adakudugu, IT Henneh, RP Biney, ...",Modulating Effects of the Hydroethanolic Leaf Extract of Persicaria lanigera R. Br. Sojak (Polygonaceae) against Acute Inflammation,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0rK5vU8AAAAJ&pagesize=100&citation_for_view=0rK5vU8AAAAJ:L8Ckcad2t8MC
"(1) JKE Edumadze, KA Barfi, V Arkorful, NO Baffour Jnr",Undergraduate student's perception of using video conferencing tools under lockdown amidst COVID-19 pandemic in Ghana,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=SsLYykwAAAAJ&pagesize=100&citation_for_view=SsLYykwAAAAJ:dshw04ExmUIC
"(2) KA Barfi, V Arkorful, F Appiah, EM Agyapong, E Acheampong",The impact of blended learning on students using the IBOX platform: Initial perspectives of teachers,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ue8f3LQAAAAJ&pagesize=100&citation_for_view=ue8f3LQAAAAJ:QIV2ME_5wuYC
"(1) F Arthur, V Arkorful, I Salifu, S Abam Nortey",Digital paradigm shift: Unraveling students’ intentions to embrace Tablet-based Learning through an extended UTAUT2 model,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ay1XHOkAAAAJ&pagesize=100&citation_for_view=ay1XHOkAAAAJ:hC7cP41nSMkC
"(1) V Arkorful, KA Arthur, EA Nyarko, MO Koranteng",Gender-Based Analysis of Senior High School teacher's ICT Attitudes and Integration,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ay1XHOkAAAAJ&pagesize=100&citation_for_view=ay1XHOkAAAAJ:HDshCWvjkbEC
(1) M Ofosu-Koranteng,Behind closed doors: women experiencing rising family violence amidst COVID-19 lockdown in Ghana,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=6r7wTt0AAAAJ&pagesize=100&citation_for_view=6r7wTt0AAAAJ:2osOgNQ5qMEC
