year,name
2015/2016,Baah Sefa Ntir
2015/2016,Francis Nsiah
2015/2016,Samuel Kofi Tulashie
2015/2016,P. Mensah-Amoah
2015/2016,Michael Miyittah
2015/2016,Benjamin Anderson
2015/2016,Simon Mariwah
2015/2016,Joshua Amo-Adjei
2015/2016,Prisca Ama Anima
2015/2016,Patrick Osei-Kuffour
2015/2016,Kweku A. A. Boakye
2015/2016,Elvis Asare-Bediako
2015/2016,Kingsley J. Taah
2015/2016,Justice Sarfo
2015/2016,Aaron Asare
2015/2016,Kwame Agyei Frimpong
2015/2016,Rofela Combey
2015/2016,Moses Jojo Eghan
2015/2016,Faustina Agyarko
2015/2016,Samuel Acquah 
