year,name
2020,James Kojo Prah
2020,Isaac Dadzie
2020,Samuel Amoah
2020,Cecil Banson
2020,Georgina Asi Owusu
2020,Juliana Audria Dankwa
2020,Rebecca Asiedu Owusu
2020,Alfred Ghartey
2020,Mohammed Najimudeen Abdulai
2020,Isaac Eliot Nyieku
2020,Paulina Nana Yaa Kwafoa
2020,Diana Atuase
2020,Gloria Tachie-Donkor
2020,Christopher Kwame Filson
2020,Theresah Addai-Mununkum
2020,Amanda Odoi
2020,Dorothy Takyiakwaa
2020,Georgina Yaa Oduro
2020,Samuel Agblorti
2020,Paul Mensah Agyei
2020,Daisy Ofosuhene
2020,Yvonne Dodzi Ami Adjakloe
2020,Kobina Esia-Donkoh
2020,Kwabena Sarfo Sarfo-Kantanka
2020,Michael Boakye-Yiadom
2020,Salome Amissah-Essel
2020,Anthony Akwesi Owusu
2020,Levi Yaffeto
2020,Robert Sarpong Amoah
2020,Samuel Kofi Tulashie
2020,Michael Ntodie
2020,Sussana Aba Abraham
2020,Ernest Obese
2020,Paul Nyagorme
2020,Brandford Bervell
2020,Emmanuel Arthur Nyarko
2020,Valentina Arkorful
2020,Benjamin Eduafo Arthur
2020,Joyce Kwakyewaa Dankyi
2020,Lydia Aframea Dankyi
2020,Felix Kwame Kumedzro
2020,Samuel Ampofo
2020,Angela Dziedzom Akorsu
2020,Akua O. Britwum
2020,Benjamin Y. Tachie
2020,Shaibu Bukari
2020,Musah Dankwah
2020,David Wellington Essaw
2020,John Victor Mensah
2020,Emmanuel Yamoah Tenkorang
2020,Nana Amma Anokye
2020,Janet Serwah Boateng
2020,Harriet Muriel Dzifa Potakey
2020,Elijah Tukwariba Yin
2020,Francis Kofi Korankye-Sakyi
2020,Grace Van Der Puije
2020,Alexander Weremfo
2020,Josiah Tachie-Menson
2020,Mohammed Augustine Takase
2020,Daniel Agyirifo Sakyi
2020,Emmanuel Plas Otwe
2020,Theophilus Abonyi Mensah
2020,Francis Kumi
2020,Richard Adade
2020,Ransford Opoku Darko
2020,Kofi Atiah
2020,Ernestina Larbie
2020,Patience Danquah Monnie
2020,Rachel Amanfu
2020,Modesta E. Gavor
2020,Isaac Tabiri Henneh
2020,Robert Peter Biney
2020,Kwesi Prah Thompford
2020,Esther Eshun Oppong
2020,Isaac Yaw Attah
2020,Emmanuel Adakudugu
2020,Dorcas Frempomaa Agyare
2020,Anastasia Ofori
2020,Nkechi Oluwakemi Dike
2020,Irene Korkoi Abo
2020,Nancy Innocentia Ebu Enyan
2020,Savanna Nyarko
2020,Moses Jojo Eghan
2020,Philip Gorleku
2020,Jerry Opoku-Ansah
2020,Simon Mariwah
2020,Emmanuel Amo Ofori
2020,Addae Boateng Adu-Gyamfi
2020,Eric Anane
2020,Foster Ntow
2020,Annan Brew
2020,Christian Addai-Poku
2020,Christian Kweku Adokoh
2020,Francis Ackah Armah
2020,George Ghartey-Kwansah
2020,Alex Boye
2020,Desmond Omane-Acheampong
2020,Patrick Adu
2020,Victor Y. A. Barku
2020,Kafui Patrick Akakpo
2020,Sebastian Ken-Amoah
2020,Stephen Ayisi-Addo
2020,Leonard Derkyi-Kwarteng
2020,George Adjei
2020,Elizabeth Agyare
2020,Kofi Ayebi-Arthur
2020,Christopher Yarkwah
2020,Nelly Abaidoo
2020,Isaac Benning
2020,Rosemary Twum
2020,Nicholas Ekow Thomford
2020,Samuel Kofi Arhin
2020,Stephen Ocansey
2020,Precious Barnes
2020,Collins Paa Kwesi Botchey
2020,Hannah Benedicta Taylor-Abdulai
2020,David Kwamena Mensah 
